,date,company,ticker,quarterly_revenue_mil,gross_profit_mil,gross_margin
1,2013-06-30,jd,JD,2814,2814,1.0
2,2013-09-30,jd,JD,2928,2928,1.0
3,2013-12-31,jd,JD,3284,3284,1.0
4,2014-03-31,jd,JD,3702,3702,1.0
5,2014-06-30,jd,JD,4612,509,0.1103642671292281
6,2014-09-30,jd,JD,4727,577,0.12206473450391368
7,2014-12-31,jd,JD,5596,5596,1.0
8,2015-03-31,jd,JD,5911,720,0.12180680087971578
9,2015-06-30,jd,JD,7408,953,0.12864470842332612
10,2015-09-30,jd,JD,6940,959,0.13818443804034583
11,2015-12-31,jd,JD,7766,1120,0.14421838784445018
12,2016-03-31,jd,JD,8370,1203,0.14372759856630823
13,2016-06-30,jd,JD,9816,1470,0.1497555012224939
14,2016-09-30,jd,JD,9106,1447,0.15890621568196794
15,2016-12-31,jd,JD,10173,1558,0.15315049641207118
16,2017-03-31,jd,JD,11074,1778,0.16055625790139064
17,2017-06-30,jd,JD,13748,1866,0.13572883328484142
18,2017-09-30,jd,JD,12587,1951,0.15500119170572813
19,2017-12-31,jd,JD,18280,2216,0.1212253829321663
20,2018-03-31,jd,JD,15963,2257,0.1413894631334962
21,2018-06-30,jd,JD,18481,2496,0.13505762675179914
22,2018-09-30,jd,JD,15255,2346,0.15378564405113077
23,2018-12-31,jd,JD,17500,2494,0.1425142857142857
24,2019-03-31,jd,JD,18042,2709,0.15014965081476556
25,2019-06-30,jd,JD,21891,3223,0.14722945502718013
26,2019-09-30,jd,JD,18865,2814,0.14916512059369202
27,2019-12-31,jd,JD,24067,3380,0.14044126812648025
28,2020-03-31,jd,JD,20648,3183,0.15415536613715614
29,2020-06-30,jd,JD,28457,4053,0.1424254137821977
30,2020-09-30,jd,JD,25659,3946,0.15378619587669043
0,2005-03-31,alphabet,GOOG,1257,710,0.5648369132856006
1,2005-06-30,alphabet,GOOG,1384,786,0.5679190751445087
2,2005-09-30,alphabet,GOOG,1578,923,0.5849176172370089
3,2005-12-31,alphabet,GOOG,1919,1142,0.5951016154247004
4,2006-03-31,alphabet,GOOG,2254,1350,0.5989352262644189
5,2006-06-30,alphabet,GOOG,2456,1467,0.5973127035830619
6,2006-09-30,alphabet,GOOG,2690,1641,0.6100371747211896
7,2006-12-31,alphabet,GOOG,3206,1922,0.5995009357454772
8,2007-03-31,alphabet,GOOG,3664,2194,0.5987991266375546
9,2007-06-30,alphabet,GOOG,3872,2312,0.5971074380165289
10,2007-09-30,alphabet,GOOG,4231,2569,0.6071850626329472
11,2007-12-31,alphabet,GOOG,4827,2871,0.5947793660658794
12,2008-03-31,alphabet,GOOG,5186,3076,0.5931353644427304
13,2008-06-30,alphabet,GOOG,5367,3220,0.5999627352338364
14,2008-09-30,alphabet,GOOG,5541,3368,0.6078325212055585
15,2008-12-31,alphabet,GOOG,5701,3511,0.6158568672162779
16,2009-03-31,alphabet,GOOG,5509,3407,0.6184425485569068
17,2009-06-30,alphabet,GOOG,5523,3415,0.6183233749773673
18,2009-09-30,alphabet,GOOG,5945,3719,0.6255677039529016
19,2009-12-31,alphabet,GOOG,6674,4266,0.639196883428229
20,2010-03-31,alphabet,GOOG,6775,4323,0.6380811808118081
21,2010-06-30,alphabet,GOOG,6820,4353,0.6382697947214077
22,2010-09-30,alphabet,GOOG,7286,4734,0.6497392259127093
23,2010-12-31,alphabet,GOOG,8440,5494,0.6509478672985782
24,2011-03-31,alphabet,GOOG,8575,5639,0.6576093294460641
25,2011-06-30,alphabet,GOOG,9026,5854,0.6485707954797253
26,2011-09-30,alphabet,GOOG,9720,6342,0.6524691358024691
27,2011-12-31,alphabet,GOOG,10584,6882,0.6502267573696145
28,2012-03-31,alphabet,GOOG,10645,6856,0.6440582433067168
29,2012-06-30,alphabet,GOOG,11807,7130,0.6038790547980012
30,2012-09-30,alphabet,GOOG,13304,7349,0.5523902585688515
31,2012-12-31,alphabet,GOOG,10283,7528,0.7320820772148205
32,2013-03-31,alphabet,GOOG,12951,7815,0.6034283066944638
33,2013-06-30,alphabet,GOOG,13107,7912,0.6036469062333104
34,2013-09-30,alphabet,GOOG,13754,8345,0.6067325868838156
35,2013-12-31,alphabet,GOOG,15707,9454,0.6018972432673331
36,2014-03-31,alphabet,GOOG,15420,9459,0.6134241245136187
37,2014-06-30,alphabet,GOOG,15955,9841,0.6167972422438107
38,2014-09-30,alphabet,GOOG,16523,9828,0.5948072383949646
39,2014-12-31,alphabet,GOOG,18103,11182,0.6176876760757886
40,2015-03-31,alphabet,GOOG,17258,10902,0.6317070344188203
41,2015-06-30,alphabet,GOOG,17727,11144,0.6286455689061883
42,2015-09-30,alphabet,GOOG,18675,11638,0.623186077643909
43,2015-12-31,alphabet,GOOG,21329,13141,0.6161095222467063
44,2016-03-31,alphabet,GOOG,20257,12609,0.6224514982475193
45,2016-06-30,alphabet,GOOG,21500,13370,0.621860465116279
46,2016-09-30,alphabet,GOOG,22451,13752,0.6125339628524342
47,2016-12-31,alphabet,GOOG,26064,15403,0.5909683855125845
48,2017-03-31,alphabet,GOOG,24750,14955,0.6042424242424242
49,2017-06-30,alphabet,GOOG,26010,15637,0.6011918492887351
50,2017-09-30,alphabet,GOOG,27772,16624,0.5985885064093331
51,2017-12-31,alphabet,GOOG,32323,18056,0.5586115150202642
52,2018-03-31,alphabet,GOOG,31146,17679,0.5676170294740898
53,2018-06-30,alphabet,GOOG,32657,18774,0.5748844045686989
54,2018-09-30,alphabet,GOOG,33740,19459,0.5767338470657972
55,2018-12-31,alphabet,GOOG,39276,21358,0.5437926469090538
56,2019-03-31,alphabet,GOOG,36339,20327,0.5593714741737528
57,2019-06-30,alphabet,GOOG,38944,21648,0.5558751027115859
58,2019-09-30,alphabet,GOOG,40499,22931,0.5662115113953431
59,2019-12-31,alphabet,GOOG,46075,25055,0.543787303309821
60,2020-03-31,alphabet,GOOG,41159,22177,0.538812896328871
61,2020-06-30,alphabet,GOOG,38297,19744,0.5155495208501971
62,2020-09-30,alphabet,GOOG,46173,25056,0.5426547982587226
63,2020-12-31,alphabet,GOOG,56898,30818,0.5416359098738093
0,2005-03-31,alphabet,GOOGL,1257,710,0.5648369132856006
1,2005-06-30,alphabet,GOOGL,1384,786,0.5679190751445087
2,2005-09-30,alphabet,GOOGL,1578,923,0.5849176172370089
3,2005-12-31,alphabet,GOOGL,1919,1142,0.5951016154247004
4,2006-03-31,alphabet,GOOGL,2254,1350,0.5989352262644189
5,2006-06-30,alphabet,GOOGL,2456,1467,0.5973127035830619
6,2006-09-30,alphabet,GOOGL,2690,1641,0.6100371747211896
7,2006-12-31,alphabet,GOOGL,3206,1922,0.5995009357454772
8,2007-03-31,alphabet,GOOGL,3664,2194,0.5987991266375546
9,2007-06-30,alphabet,GOOGL,3872,2312,0.5971074380165289
10,2007-09-30,alphabet,GOOGL,4231,2569,0.6071850626329472
11,2007-12-31,alphabet,GOOGL,4827,2871,0.5947793660658794
12,2008-03-31,alphabet,GOOGL,5186,3076,0.5931353644427304
13,2008-06-30,alphabet,GOOGL,5367,3220,0.5999627352338364
14,2008-09-30,alphabet,GOOGL,5541,3368,0.6078325212055585
15,2008-12-31,alphabet,GOOGL,5701,3511,0.6158568672162779
